Command: /tmp/cpu_v_build_kid/simv -l vlogs/sim_soc_bus.log +vcs+flush+all
Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP2_Full64; Runtime version O-2018.09-SP2_Full64;  Mar  6 18:11 2026
*Verdi* Loading libsscore_vcs201809.so
FSDB Dumper for VCS, Release Verdi_O-2018.09-SP2, Linux x86_64/64bit, 02/21/2019
(C) 1996 - 2019 by Synopsys, Inc.
*Verdi* FSDB WARNING: The FSDB file already exists. Overwriting the FSDB file may crash the programs that are using this file.
*Verdi* : Create FSDB file '/tmp/cpu_v_build_kid/soc_peripheral_bus.fsdb'
*Verdi* : Begin traversing the scope (soc_peripheral_bus_tb), layer (0).
*Verdi* : End of traversing.
*Verdi* : Begin traversing the MDAs under scope (soc_peripheral_bus_tb), layer (0).
*Verdi* : Enable +mda and +packedmda dumping.
*Verdi* : End of traversing the MDAs.
Time=1625000: FLASH READ - addr=0x00000040, data=0x13
Time=1635000: CPU READ REQUEST - addr=0x0000003c, ready=1
Time=1635000: FLASH READ - addr=0x00000040, data=0x13
Time=1645000: CPU READ REQUEST - addr=0x0000003c, ready=1
Time=1695000: SW INSTRUCTION - rs1_data=0x10000000, rs2_data=0x00000096, rd=0x00, imm_2031=0x00b, calculated_addr=0x10000000
         x10=0x0000001c, x11=0x00000096
Time=1755000: CPU READ REQUEST - addr=0x10000000, ready=0
Time=1765000: CPU READ REQUEST - addr=0x10000000, ready=0
Time=1775000: CPU READ REQUEST - addr=0x10000000, ready=0
Time=1775000: BUS READ - addr=0x10000000
Time=1785000: CPU READ REQUEST - addr=0x10000000, ready=1
Time=1785000: BUS READ - addr=0x10000000
Time=1795000: CPU READ REQUEST - addr=0x10000004, ready=1
Time=1795000: BUS READ - addr=0x10000004
Time=1805000: CPU READ REQUEST - addr=0x10000004, ready=1
Time=1815000: CPU READ REQUEST - addr=0x10000004, ready=0
Time=1825000: CPU READ REQUEST - addr=0x10000004, ready=0
Time=1825000: BUS READ - addr=0x10000004
Time=1835000: CPU READ REQUEST - addr=0x10000004, ready=1
Time=1835000: BUS READ - addr=0x10000004
Time=1845000: CPU READ REQUEST - addr=0x10000008, ready=1
Time=1845000: BUS READ - addr=0x10000008
Time=1855000: CPU READ REQUEST - addr=0x10000008, ready=1
Time=1865000: CPU READ REQUEST - addr=0x10000008, ready=0
Time=1875000: CPU READ REQUEST - addr=0x10000008, ready=0
Time=1875000: BUS READ - addr=0x10000008
Time=1885000: CPU READ REQUEST - addr=0x10000008, ready=1
Time=1885000: BUS READ - addr=0x10000008
Time=1895000: CPU READ REQUEST - addr=0x1000000c, ready=1
Time=1895000: BUS READ - addr=0x1000000c
Time=1905000: CPU READ REQUEST - addr=0x1000000c, ready=1
Time=1915000: CPU READ REQUEST - addr=0x1000000c, ready=0
Time=1925000: CPU READ REQUEST - addr=0x1000000c, ready=0
Time=1925000: BUS READ - addr=0x1000000c
Time=1935000: CPU READ REQUEST - addr=0x1000000c, ready=1
Time=1935000: BUS READ - addr=0x1000000c
Time=1945000: CPU READ REQUEST - addr=0x1000000c, ready=1
Time=1945000: BUS READ - addr=0x1000000c
Time=1955000: CPU READ REQUEST - addr=0x1000000c, ready=1
Time=2035000: WB COMMIT - rd=x14, data=0x00000002
Time=2045000: WB COMMIT - rd=x14, data=0x00000002
