Command: /tmp/cpu_v_build_kid/simv -l vlogs/sim_pipeline_full.log +vcs+flush+all
Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP2_Full64; Runtime version O-2018.09-SP2_Full64;  Mar  4 12:18 2026
*Verdi* Loading libsscore_vcs201809.so
FSDB Dumper for VCS, Release Verdi_O-2018.09-SP2, Linux x86_64/64bit, 02/21/2019
(C) 1996 - 2019 by Synopsys, Inc.
*Verdi* : Create FSDB file '/tmp/cpu_v_build_kid/pipeline_full.fsdb'
*Verdi* : Begin traversing the scope (cpu_pipeline_full_tb), layer (0).
Time=3205000: PC=0x000000b8, inst=0x0000006f
Time=3215000: PC=0x000000b8, inst=0x00000013
Time=3225000: PC=0x000000b8, inst=0x0000006f
Time=3235000: PC=0x000000b8, inst=0x0000006f
Time=3245000: PC=0x000000b8, inst=0x00000013
Time=3255000: PC=0x000000b8, inst=0x0000006f
Time=3265000: PC=0x000000b8, inst=0x0000006f
Time=3275000: PC=0x000000b8, inst=0x00000013
Time=3285000: PC=0x000000b8, inst=0x0000006f
Time=3295000: PC=0x000000b8, inst=0x0000006f
Time=3305000: PC=0x000000b8, inst=0x00000013
Time=3315000: PC=0x000000b8, inst=0x0000006f
Time=3325000: PC=0x000000b8, inst=0x0000006f
Time=3335000: PC=0x000000b8, inst=0x00000013
Time=3345000: PC=0x000000b8, inst=0x0000006f
Time=3355000: PC=0x000000b8, inst=0x0000006f
Time=3365000: PC=0x000000b8, inst=0x00000013
Time=3375000: PC=0x000000b8, inst=0x0000006f
Time=3385000: PC=0x000000b8, inst=0x0000006f
Time=3395000: PC=0x000000b8, inst=0x00000013
Time=3405000: PC=0x000000b8, inst=0x0000006f
Time=3415000: PC=0x000000b8, inst=0x0000006f
Time=3425000: PC=0x000000b8, inst=0x00000013
Time=3435000: PC=0x000000b8, inst=0x0000006f
Time=3445000: PC=0x000000b8, inst=0x0000006f
Time=3455000: PC=0x000000b8, inst=0x00000013
Time=3465000: PC=0x000000b8, inst=0x0000006f
Time=3475000: PC=0x000000b8, inst=0x0000006f
Time=3485000: PC=0x000000b8, inst=0x00000013
Time=3495000: PC=0x000000b8, inst=0x0000006f
Time=3505000: PC=0x000000b8, inst=0x0000006f
Time=3515000: PC=0x000000b8, inst=0x00000013
Time=3525000: PC=0x000000b8, inst=0x0000006f
Time=3535000: PC=0x000000b8, inst=0x0000006f
Time=3545000: PC=0x000000b8, inst=0x00000013
Time=3555000: PC=0x000000b8, inst=0x0000006f
Time=3565000: PC=0x000000b8, inst=0x0000006f
Time=3575000: PC=0x000000b8, inst=0x00000013
Time=3585000: PC=0x000000b8, inst=0x0000006f
Time=3595000: PC=0x000000b8, inst=0x0000006f
Time=3605000: PC=0x000000b8, inst=0x00000013
Time=3615000: PC=0x000000b8, inst=0x0000006f
Time=3625000: PC=0x000000b8, inst=0x0000006f
Time=3635000: PC=0x000000b8, inst=0x00000013
Time=3645000: PC=0x000000b8, inst=0x0000006f
Time=3655000: PC=0x000000b8, inst=0x0000006f
Time=3665000: PC=0x000000b8, inst=0x00000013
Time=3675000: PC=0x000000b8, inst=0x0000006f
Time=3685000: PC=0x000000b8, inst=0x0000006f
Time=3695000: PC=0x000000b8, inst=0x00000013
Time=3705000: PC=0x000000b8, inst=0x0000006f
Time=3715000: PC=0x000000b8, inst=0x0000006f
Time=3725000: PC=0x000000b8, inst=0x00000013
Time=3735000: PC=0x000000b8, inst=0x0000006f
Time=3745000: PC=0x000000b8, inst=0x0000006f
Time=3755000: PC=0x000000b8, inst=0x00000013
Time=3765000: PC=0x000000b8, inst=0x0000006f
Time=3775000: PC=0x000000b8, inst=0x0000006f
Time=3785000: PC=0x000000b8, inst=0x00000013
Time=3795000: PC=0x000000b8, inst=0x0000006f
Time=3805000: PC=0x000000b8, inst=0x0000006f
Time=3815000: PC=0x000000b8, inst=0x00000013
Time=3825000: PC=0x000000b8, inst=0x0000006f
Time=3835000: PC=0x000000b8, inst=0x0000006f
Time=3845000: PC=0x000000b8, inst=0x00000013
Time=3855000: PC=0x000000b8, inst=0x0000006f
Time=3865000: PC=0x000000b8, inst=0x0000006f
Time=3875000: PC=0x000000b8, inst=0x00000013
Time=3885000: PC=0x000000b8, inst=0x0000006f
Time=3895000: PC=0x000000b8, inst=0x0000006f
Time=3905000: PC=0x000000b8, inst=0x00000013
Time=3915000: PC=0x000000b8, inst=0x0000006f
Time=3925000: PC=0x000000b8, inst=0x0000006f
Time=3935000: PC=0x000000b8, inst=0x00000013
Time=3945000: PC=0x000000b8, inst=0x0000006f
Time=3955000: PC=0x000000b8, inst=0x0000006f
Time=3965000: PC=0x000000b8, inst=0x00000013
Time=3975000: PC=0x000000b8, inst=0x0000006f
Time=3985000: PC=0x000000b8, inst=0x0000006f
Time=3995000: PC=0x000000b8, inst=0x00000013
Time=4005000: PC=0x000000b8, inst=0x0000006f
Time=4015000: PC=0x000000b8, inst=0x0000006f
Time=4025000: PC=0x000000b8, inst=0x00000013
Time=4035000: PC=0x000000b8, inst=0x0000006f
Time=4045000: PC=0x000000b8, inst=0x0000006f
Time=4055000: PC=0x000000b8, inst=0x00000013
Time=4065000: PC=0x000000b8, inst=0x0000006f
Time=4075000: PC=0x000000b8, inst=0x0000006f
Time=4085000: PC=0x000000b8, inst=0x00000013
Time=4095000: PC=0x000000b8, inst=0x0000006f
Time=4105000: PC=0x000000b8, inst=0x0000006f
Time=4115000: PC=0x000000b8, inst=0x00000013
Time=4125000: PC=0x000000b8, inst=0x0000006f
Time=4135000: PC=0x000000b8, inst=0x0000006f
Time=4145000: PC=0x000000b8, inst=0x00000013
Time=4155000: PC=0x000000b8, inst=0x0000006f
Time=4165000: PC=0x000000b8, inst=0x0000006f
Time=4175000: PC=0x000000b8, inst=0x00000013
Time=4185000: PC=0x000000b8, inst=0x0000006f
Time=4195000: PC=0x000000b8, inst=0x0000006f
Time=4205000: PC=0x000000b8, inst=0x00000013
Time=4215000: PC=0x000000b8, inst=0x0000006f
Time=4225000: PC=0x000000b8, inst=0x0000006f
Time=4235000: PC=0x000000b8, inst=0x00000013
Time=4245000: PC=0x000000b8, inst=0x0000006f
Time=4255000: PC=0x000000b8, inst=0x0000006f
Time=4265000: PC=0x000000b8, inst=0x00000013
Time=4275000: PC=0x000000b8, inst=0x0000006f
Time=4285000: PC=0x000000b8, inst=0x0000006f
Time=4295000: PC=0x000000b8, inst=0x00000013
Time=4305000: PC=0x000000b8, inst=0x0000006f
Time=4315000: PC=0x000000b8, inst=0x0000006f
Time=4325000: PC=0x000000b8, inst=0x00000013
Time=4335000: PC=0x000000b8, inst=0x0000006f
Time=4345000: PC=0x000000b8, inst=0x0000006f
Time=4355000: PC=0x000000b8, inst=0x00000013
Time=4365000: PC=0x000000b8, inst=0x0000006f
Time=4375000: PC=0x000000b8, inst=0x0000006f
Time=4385000: PC=0x000000b8, inst=0x00000013
Time=4395000: PC=0x000000b8, inst=0x0000006f
Time=4405000: PC=0x000000b8, inst=0x0000006f
Time=4415000: PC=0x000000b8, inst=0x00000013
Time=4425000: PC=0x000000b8, inst=0x0000006f
Time=4435000: PC=0x000000b8, inst=0x0000006f
Time=4445000: PC=0x000000b8, inst=0x00000013
Time=4455000: PC=0x000000b8, inst=0x0000006f
Time=4465000: PC=0x000000b8, inst=0x0000006f
Time=4475000: PC=0x000000b8, inst=0x00000013
Time=4485000: PC=0x000000b8, inst=0x0000006f
Time=4495000: PC=0x000000b8, inst=0x0000006f
Time=4505000: PC=0x000000b8, inst=0x00000013
Time=4515000: PC=0x000000b8, inst=0x0000006f
Time=4525000: PC=0x000000b8, inst=0x0000006f
Time=4535000: PC=0x000000b8, inst=0x00000013
Time=4545000: PC=0x000000b8, inst=0x0000006f
Time=4555000: PC=0x000000b8, inst=0x0000006f
Time=4565000: PC=0x000000b8, inst=0x00000013
Time=4575000: PC=0x000000b8, inst=0x0000006f
Time=4585000: PC=0x000000b8, inst=0x0000006f
Time=4595000: PC=0x000000b8, inst=0x00000013
Time=4605000: PC=0x000000b8, inst=0x0000006f
Time=4615000: PC=0x000000b8, inst=0x0000006f
Time=4625000: PC=0x000000b8, inst=0x00000013
Time=4635000: PC=0x000000b8, inst=0x0000006f
Time=4645000: PC=0x000000b8, inst=0x0000006f
Time=4655000: PC=0x000000b8, inst=0x00000013
Time=4665000: PC=0x000000b8, inst=0x0000006f
Time=4675000: PC=0x000000b8, inst=0x0000006f
Time=4685000: PC=0x000000b8, inst=0x00000013
Time=4695000: PC=0x000000b8, inst=0x0000006f
